region,hour_of_day,avg_occupancy,current_revenue_per_hour,target_revenue_per_hour,optimized_revenue_per_hour,avg_spaces,current_rate,recommended_rate,revenue_uplift
Ballard,8,0.1550044533508163,68.96708954688802,350.2749666529798,350.2749666529798,291.89580554414977,1.5,0.5,281.3078771060918
Ballard,9,0.30229858116402525,135.81766245912632,350.27521754323175,350.27521754323175,291.8960146193598,1.5,0.5,214.45755508410542
Ballard,10,0.42439227609421415,190.67239861292487,350.16395330702983,350.16395330702983,291.80329442252486,1.5,0.5,159.49155469410496
Ballard,11,0.5059250142397551,227.2436971134029,350.11990817294554,350.11990817294554,291.7665901441213,1.5,0.5,122.87621105954264
Ballard,12,0.5638169443230933,253.54554077928768,350.09330812943875,350.09330812943875,291.74442344119893,1.5,0.75,96.54776735015108
Ballard,13,0.5818295086362452,261.08780913363637,350.0695370551495,350.0695370551495,291.72461421262454,1.5,1.0,88.98172792151314
Ballard,14,0.5684934530373331,255.01351453579255,350.1027445274384,350.1027445274384,291.75228710619865,1.5,0.75,95.08922999164585
Ballard,15,0.5538987476235762,248.5762220722864,350.0939192426962,350.0939192426962,291.7449327022468,1.5,0.75,101.51769717040978
Ballard,16,0.547101216076867,246.11826226883488,350.0395452071956,350.0395452071956,291.6996210059963,1.5,0.5,103.92128293836072
Ballard,17,0.5612942742713127,252.6033458813743,351.2852232386488,351.2852232386488,292.7376860322073,1.5,0.5,98.68187735727452
Ballard,18,0.6231721123284911,258.40890247288314,328.8927979374871,328.8927979374871,274.0773316145726,1.5,1.0,70.48389546460396
Ballard,19,0.620367546878952,257.3020300753185,328.9028478750449,328.9028478750449,274.08570656253744,1.5,1.0,71.60081779972643
Capitol Hill,8,0.1321600853269443,311.205087978361,1858.1577768385748,1858.1577768385748,1161.348610524109,2.0,0.5,1546.9526888602138
Capitol Hill,9,0.21202352649570694,504.27882709355924,1877.73180059581,1877.73180059581,1173.5823753723812,2.0,0.5,1373.4529735022506
Capitol Hill,10,0.2538773212918115,604.9791754256138,1878.2684877579104,1878.2684877579104,1173.917804848694,2.0,0.5,1273.2893123322965
Capitol Hill,11,0.28958070923139495,689.3533898243313,1878.0168072987735,1878.0168072987735,1173.7605045617336,2.0,0.5,1188.6634174744422
Capitol Hill,12,0.3118104587503053,742.0365382596458,1878.1627930139516,1878.1627930139516,1173.8517456337195,2.0,0.5,1136.1262547543058
Capitol Hill,13,0.3163281894117849,751.2755284666225,1878.5368089062133,1878.5368089062133,1174.0855055663835,2.0,0.5,1127.2612804395908
Capitol Hill,14,0.3041549981922172,720.4515597067011,1878.9511244555806,1878.9511244555806,1174.3444527847378,2.0,0.5,1158.4995647488795
Capitol Hill,15,0.2921530820254296,681.6573048879775,1851.627093087789,1851.627093087789,1157.266933179868,2.0,0.5,1169.9697881998115
Capitol Hill,16,0.288482846231368,667.8998058468108,1836.1430580560154,1836.1430580560154,1147.5894112850096,2.0,0.5,1168.2432522092047
Capitol Hill,17,0.3141261626196918,727.4544250035126,1834.6168625253047,1834.6168625253047,1146.6355390783153,2.0,0.5,1107.162437521792
Capitol Hill,18,0.3771813466092679,880.2132226124012,1842.593307369557,1842.593307369557,1151.620817105973,2.0,0.5,962.3800847571557
Capitol Hill,19,0.4078832373690358,971.7596512348172,1880.4260440766782,1880.4260440766782,1175.266277547924,2.0,0.5,908.666392841861
Downtown Seattle,8,0.2253126319083041,1883.8657715358404,6666.879883591283,6666.879883591283,3333.4399417956415,2.5,0.5,4783.014112055443
Downtown Seattle,9,0.33146173586515904,3078.2133062917896,7270.55083047044,7270.55083047044,3635.27541523522,2.5,0.5,4192.337524178651
Downtown Seattle,10,0.41221054869377144,3843.4972419611736,7267.87230161038,7267.87230161038,3633.93615080519,2.5,1.0,3424.375059649207
Downtown Seattle,11,0.4632510900247927,4320.0393928999265,7263.966164051004,7263.966164051004,3631.983082025502,2.5,1.25,2943.9267711510774
Downtown Seattle,12,0.4683983947810115,4371.042291085442,7264.4773170231365,7264.4773170231365,3632.2386585115682,2.5,1.25,2893.4350259376943
Downtown Seattle,13,0.4625484314978461,4311.990570409143,7264.453491706218,7264.453491706218,3632.226745853109,2.5,1.25,2952.462921297075
Downtown Seattle,14,0.4302374972999603,4002.934526137452,7265.033311178461,7265.033311178461,3632.5166555892306,2.5,1.0,3262.0987850410093
Downtown Seattle,15,0.4077669656325253,3710.5732735290585,7101.403374221608,7101.403374221608,3550.701687110804,2.5,1.0,3390.8301006925494
Downtown Seattle,16,0.40345402611274944,3372.9831610067777,6572.12314093554,6572.12314093554,3286.06157046777,2.5,1.0,3199.139979928762
Downtown Seattle,17,0.40306687657607887,3359.6255179891536,6506.525564019829,6506.525564019829,3253.2627820099146,2.5,1.0,3146.9000460306756
Downtown Seattle,18,0.43664322784449533,2923.034938382869,5180.398577326423,5180.398577326423,2590.1992886632115,2.5,1.0,2257.363638943554
Downtown Seattle,19,0.438206938616367,3049.24573292684,5426.065099640809,5426.065099640809,2713.0325498204047,2.5,1.0,2376.8193667139694
International District,8,0.12532990571803382,42.53235507426986,275.2193571109247,275.2193571109247,229.34946425910388,1.5,0.5,232.68700203665486
International District,9,0.23432378182169586,81.74603592160041,275.4074060899561,275.4074060899561,229.50617174163008,1.5,0.5,193.6613701683557
International District,10,0.3251116145424718,115.402318710756,275.65826437907555,275.65826437907555,229.7152203158963,1.5,0.5,160.25594566831955
International District,11,0.3968503519473728,140.87151431803366,275.78171953895514,275.78171953895514,229.81809961579592,1.5,0.5,134.91020522092148
International District,12,0.45291982404104036,160.84285203997547,275.97748570374534,275.97748570374534,229.98123808645443,1.5,0.5,115.13463366376988
International District,13,0.4514513096836959,160.34718039099516,276.0500254334572,276.0500254334572,230.04168786121437,1.5,0.5,115.70284504246206
International District,14,0.40087746768289,142.30978146050194,276.06082328039247,276.06082328039247,230.0506860669937,1.5,0.5,133.75104181989053
International District,15,0.3484178641407236,123.31568719872881,275.47525126655023,275.47525126655023,229.56270938879183,1.5,0.5,152.1595640678214
International District,16,0.3234807980906135,114.4571694614505,275.51450803458926,275.51450803458926,229.5954233621577,1.5,0.5,161.05733857313874
International District,17,0.3819414816081163,135.41792488665251,281.69958858600563,281.69958858600563,234.74965715500468,1.5,0.5,146.28166369935312
International District,18,0.5039745631809057,179.00268408651615,281.8076009441986,281.8076009441986,234.83966745349883,1.5,0.5,102.80491685768246
International District,19,0.5187520639089456,184.74403296416983,282.3001307859216,282.3001307859216,235.250108988268,1.5,0.5,97.55609782175179
South Lake Union,8,0.23926451819108407,532.6063992159657,1767.94402123526,1767.94402123526,1104.9650132720374,2.0,0.5,1235.3376220192943
South Lake Union,9,0.31570662503729047,732.9681058798699,1823.845867577848,1823.845867577848,1139.903667236155,2.0,0.5,1090.877761697978
